Trace
Swept SA
A.21.04,N9000B
21720000,-114.514457702637
21760000,-95.196403503418
21800000,-113.150886535645
21840000,-95.2110824584961
21880000,-108.560241699219
21920000,-90.7685317993164
21960000,-106.133712768555
22000000,-91.6837310791016
22040000,-113.572319030762
22080000,-94.5038681030273
22120000,-102.766380310059
22160000,-92.7819747924805
22200000,-111.885383605957
22240000,-92.9662170410156
22280000,-103.855056762695
22320000,-95.2775573730469
22360000,-111.476364135742
22400000,-93.7276306152344
22440000,-105.267364501953
22480000,-93.0471725463867
22520000,-110.041389465332
22560000,-92.0645370483398
22600000,-111.536987304688
22640000,-92.6070556640625
22680000,-107.180374145508
22720000,-94.0070953369141
22760000,-103.603652954102
22800000,-94.8505783081055
22840000,-107.994277954102
22880000,-94.033935546875
22920000,-107.701942443848
22960000,-89.4360504150391
23000000,-111.178901672363
23040000,-92.5941162109375
23080000,-106.645500183105
23120000,-92.7747268676758
23160000,-110.798431396484
23200000,-92.3056106567383
23240000,-108.847160339355
23280000,-91.9356231689453
23320000,-106.862442016602
23360000,-94.0020599365234
23400000,-112.499908447266
23440000,-92.3780212402344
23480000,-112.595695495605
23520000,-92.3782577514648
23560000,-112.438285827637
23600000,-92.5803375244141
23640000,-105.274948120117
23680000,-92.9627532958984
23720000,-114.287567138672
23760000,-91.0066680908203
23800000,-114.744018554688
23840000,-91.4607391357422
23880000,-104.67845916748
23920000,-90.2797622680664
23960000,-103.389991760254
24000000,-93.312370300293
24040000,-107.114112854004
24080000,-91.0684432983398
24120000,-107.636245727539
24160000,-94.1667327880859
24200000,-108.815246582031
24240000,-91.1763381958008
24280000,-102.578674316406
24320000,-92.8676986694336
24360000,-103.9833984375
24400000,-93.3372650146484
24440000,-113.87141418457
24480000,-95.0799789428711
24520000,-109.880165100098
24560000,-96.0810089111328
24600000,-110.955238342285
24640000,-92.1112518310547
24680000,-115.33740234375
24720000,-92.894905090332
24760000,-108.324493408203
24800000,-95.644416809082
24840000,-105.691177368164
24880000,-93.4135894775391
24920000,-108.96858215332
24960000,-93.2883529663086
25000000,-107.013633728027
25040000,-92.2829360961914
25080000,-100.484512329102
25120000,-93.5886001586914
25160000,-104.547866821289
25200000,-93.1636734008789
25240000,-106.238090515137
25280000,-91.748649597168
25320000,-102.808235168457
25360000,-93.2310562133789
25400000,-109.463272094727
25440000,-90.6467742919922
25480000,-105.189018249512
25520000,-89.8516006469727
25560000,-110.800201416016
25600000,-95.3278198242188
25640000,-111.345054626465
25680000,-95.4224090576172
25720000,-110.899803161621
25760000,-93.4269256591797
25800000,-104.426788330078
25840000,-91.4768142700195
25880000,-105.549682617188
25920000,-91.4268798828125
25960000,-100.327110290527
26000000,-91.2228775024414
26040000,-109.349281311035
26080000,-90.9746704101563
26120000,-106.112869262695
26160000,-92.3734436035156
26200000,-100.272827148438
26240000,-91.0443725585938
26280000,-104.158187866211
26320000,-90.9908447265625
26360000,-106.439559936523
26400000,-91.0997314453125
26440000,-105.891571044922
26480000,-91.0700836181641
26520000,-104.938697814941
26560000,-91.0870056152344
26600000,-112.526458740234
26640000,-91.3798141479492
26680000,-104.953430175781
26720000,-91.6188735961914
26760000,-115.026573181152
26800000,-91.9713973999023
26840000,-108.350486755371
26880000,-91.6001510620117
26920000,-114.59700012207
26960000,-94.2457733154297
27000000,-102.952507019043
27040000,-92.7566299438477
27080000,-109.839179992676
27120000,-92.1572647094727
27160000,-108.782379150391
27200000,-91.9651565551758
27240000,-111.545036315918
27280000,-90.0794982910156
27320000,-108.159294128418
27360000,-95.7240600585938
27400000,-113.352401733398
27440000,-91.1881790161133
27480000,-110.907791137695
