Trace
Swept SA
A.21.04,N9000B
30640000,-87.6865615844727
30680000,-107.132751464844
30720000,-91.3063507080078
30760000,-101.730590820313
30800000,-91.3162841796875
30840000,-97.1901779174805
30880000,-88.4573059082031
30920000,-107.320945739746
30960000,-90.1128768920898
31000000,-96.3473968505859
31040000,-91.6207962036133
31080000,-103.003425598145
31120000,-89.0606994628906
31160000,-93.9153366088867
31200000,-88.9739761352539
31240000,-100.81566619873
31280000,-90.4872665405273
31320000,-105.798309326172
31360000,-90.4255981445313
31400000,-91.1800003051758
31440000,-89.0619125366211
31480000,-99.8154525756836
31520000,-89.5371627807617
31560000,-96.9958343505859
31600000,-89.6025619506836
31640000,-99.4594497680664
31680000,-91.3959274291992
31720000,-108.502052307129
31760000,-91.5508117675781
31800000,-100.829620361328
31840000,-93.0989837646484
31880000,-97.9500427246094
31920000,-90.9120254516602
31960000,-104.510307312012
32000000,-94.1496810913086
32040000,-104.986442565918
32080000,-90.697395324707
32120000,-103.839302062988
32160000,-91.9073028564453
32200000,-101.503784179688
32240000,-89.3811874389648
32280000,-98.9087677001953
32320000,-91.6792449951172
32360000,-114.899032592773
32400000,-88.3441696166992
32440000,-95.3035049438477
32480000,-89.5147094726563
32520000,-96.6342239379883
32560000,-90.0731582641602
32600000,-114.055358886719
32640000,-94.9680862426758
32680000,-97.7126388549805
32720000,-87.2607345581055
32760000,-108.189682006836
32800000,-88.2540817260742
32840000,-98.1073837280273
32880000,-88.1735992431641
32920000,-99.8828353881836
32960000,-94.1262435913086
33000000,-107.283355712891
33040000,-95.8462142944336
33080000,-104.415390014648
33120000,-89.000602722168
33160000,-110.206954956055
33200000,-88.9854431152344
33240000,-95.9930953979492
33280000,-90.2364959716797
33320000,-97.1689834594727
33360000,-92.9309616088867
33400000,-103.00439453125
33440000,-89.5466613769531
33480000,-97.5449142456055
33520000,-92.1453704833984
33560000,-101.428642272949
33600000,-91.1395950317383
33640000,-102.745018005371
33680000,-91.0850524902344
33720000,-98.3799438476563
33760000,-87.1709823608398
33800000,-107.463684082031
33840000,-91.7643280029297
33880000,-105.657905578613
33920000,-90.3612289428711
33960000,-109.919250488281
34000000,-89.4932556152344
34040000,-105.194442749023
34080000,-90.9358062744141
34120000,-104.397163391113
34160000,-92.3998260498047
34200000,-94.8258056640625
34240000,-89.9443740844727
34280000,-102.365013122559
34320000,-91.0325546264648
34360000,-106.322105407715
34400000,-91.0648040771484
34440000,-99.916748046875
34480000,-90.7167358398438
34520000,-101.323501586914
34560000,-90.0062561035156
34600000,-93.6957626342773
34640000,-89.5320129394531
34680000,-98.8448028564453
34720000,-92.3472595214844
34760000,-104.623825073242
34800000,-90.758918762207
34840000,-107.03638458252
34880000,-90.1728134155273
34920000,-100.262344360352
34960000,-91.5715026855469
35000000,-108.51831817627
35040000,-92.3947982788086
35080000,-102.691932678223
35120000,-91.8265838623047
35160000,-104.502250671387
35200000,-90.7366714477539
35240000,-104.913909912109
35280000,-91.5501251220703
35320000,-109.390007019043
35360000,-91.0159149169922
35400000,-107.97705078125
35440000,-92.2803649902344
35480000,-93.6817245483398
